,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,JobsRetained,LoanCat
25708,"TYSON &  MENDES, LLP",5661 LA JOLLA BLVD,LA JOLLA,CA,92037.0,541110.0,Limited Liability Partnership,,a
25709,UNICAL AVIATION INC.,680 S Lemon Ave,WALNUT,CA,91789.0,423860.0,Corporation,500.0,a
25710,UNITED MECHANICAL INC.,2185 OAKLAND RD,SAN JOSE,CA,95131.0,238220.0,Subchapter S Corporation,374.0,a
25711,"UNIVERSAL WASTE SYSTEMS, INC.",9010 norwalk,SANTA FE SPRINGS,CA,90670.0,562119.0,Corporation,295.0,a
25712,"UPSTART NETWORK, INC.",2950 S DELAWARE ST STE 300,SAN MATEO,CA,94403.0,522291.0,Corporation,0.0,a
25713,URATA & SONS CONCRETE LLC,3420 LUYUNG DR,RANCHO CORDOVA,CA,95742.0,238120.0,Limited  Liability Company(LLC),251.0,a
25714,"URBAN PLATES, LLC",2053 SAN ELIJO AVE,CARDIFF BY THE SEA,CA,92007.0,722513.0,Limited  Liability Company(LLC),204.0,a
25715,"US AIR CONDITIONING DISTRIBUTORS, LLC",16900 Chestnut Street,CITY OF INDUSTRY,CA,91748.0,423730.0,Limited  Liability Company(LLC),0.0,a
25716,VALDEZ PAINTING INC,2400 ALHAMBRA BOULEVARD,SACRAMENTO,CA,95817.0,238320.0,Subchapter S Corporation,478.0,a
25717,VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA,55 FAIR DR,COSTA MESA,CA,92626.0,611310.0,Non-Profit Organization,,a
25718,"VANIR CONSTRUCTION MANAGEMENT, INC.",4540 DUCKHORN DR STE 300,SACRAMENTO,CA,95834.0,561110.0,Corporation,384.0,a
25719,"VECTOR RESOURCES, INC.",20917 HIGGINS CT,TORRANCE,CA,90501.0,238210.0,Corporation,302.0,a
25720,"VEEV GROUP, INC",777 Mariners Island Boulevard Suite 150,SAN MATEO,CA,94404.0,236117.0,Corporation,184.0,a
25721,"VELODYNE LIDAR, INC.",5521 HELLYER AVE,SAN JOSE,CA,95138.0,334511.0,Corporation,450.0,a
25722,"VENBROOK GROUP, LLC","6320 Canoga Avenue, 12th Floor 0.0",WOODLAND HILLS,CA,91367.0,524210.0,Limited  Liability Company(LLC),320.0,a
25723,VENICE FAMILY CLINC,604 Rose Avenue,VENICE,CA,90291.0,621111.0,Non-Profit Organization,340.0,a
25724,"VENTURA COASTAL, LLC",2325 VISTA DEL MAR DR,VENTURA,CA,93001.0,311411.0,Corporation,352.0,a
25725,VEP HEALTHCARE INC,1001 GALAXY WAY Suite 400,CONCORD,CA,94520.0,621493.0,Corporation,317.0,a
25726,VIANT TECHNOLOGY LLC,2722 MICHELSON DR Ste 100,IRVINE,CA,92612.0,541830.0,Limited  Liability Company(LLC),250.0,a
25727,VIEWPOINT EDUCATIONAL FDTN,23620 MULHOLLAND HWY,CALABASAS,CA,91302.0,611110.0,Non-Profit Organization,,a
25728,"VINTAGE WINE ESTATES, INC.",205 Concourse Blvd,SANTA ROSA,CA,95403.0,312130.0,Corporation,488.0,a
25729,VISTA CENTER FOR THE BLIND AND VISUALLY IMPAIRED,2500 El Camino Real Suite 100,SANTA CLARA,CA,95051.0,624190.0,Non-Profit Organization,36.0,a
25730,VISTA DEL MAR CHILD & FAMILY SERVICES,32000 MOTOR AVE,LOS ANGELES,CA,90034.0,624110.0,Non-Profit Organization,200.0,a
25731,VSOLVIT  LLC,4171 Market St Suite 2,VENTURA,CA,93003.0,541330.0,Limited  Liability Company(LLC),0.0,a
25732,"W. BRADLEY ELECTRIC, INC.",90 HILL RD,NOVATO,CA,94945.0,238210.0,Corporation,274.0,a
25733,"W.A. RASIC CONSTRUCTION COMPANY, INC.",4150 Long Beach Blvd.,LONG BEACH,CA,90807.0,237110.0,Corporation,402.0,a
25734,W.K.S. FROSTY CORPORATION,5856 CORPORATE AVE suite 200,CYPRESS,CA,90630.0,722513.0,Subchapter S Corporation,500.0,a
25735,W.K.S. RESTAURANT CORPORATION,5856 CORPORATE AVE suite 200,CYPRESS,CA,90630.0,722513.0,Subchapter S Corporation,500.0,a
25736,WARE MALCOMB,10 EDELMAN,IRVINE,CA,92618.0,541310.0,Corporation,479.0,a
25737,"WARMEL MANAGEMENT, INC.",636 ECKHOFF ST,ORANGE,CA,92868.0,722513.0,Subchapter S Corporation,500.0,a
25738,"WASHINGTON ORNAMENTAL IRON WORKS, INC.",17926 S. BROADWAY,GARDENA,CA,90248.0,238990.0,Corporation,223.0,a
25739,WATTS HEALTHCARE CORPORATION,10300 COMPTON AVE,LOS ANGELES,CA,90002.0,621111.0,Non-Profit Organization,349.0,a
25740,"WEBER METALS, INC.",16706 GARFIELD AVE,PARAMOUNT,CA,90723.0,332112.0,Corporation,412.0,a
25741,WELLSPACE HEALTH,777 12th St Suite 250,SACRAMENTO,CA,95814.0,621111.0,Non-Profit Organization,500.0,a
25742,WENTE BROS.,5565 TESLA RD,LIVERMORE,CA,94550.0,312130.0,Subchapter S Corporation,500.0,a
25743,"WEST CENTRAL PRODUCE, INC.",12840 Leyva St.,NORWALK,CA,90650.0,424480.0,Subchapter S Corporation,489.0,a
25744,WEST COAST BERRY FARMS LLC,4324 E. Vineyard Ave.,OXNARD,CA,93036.0,111333.0,Limited  Liability Company(LLC),500.0,a
25745,WEST COAST DENTAL SERVICES INC,12121 Wilshire Blvd,LOS ANGELES,CA,90025.0,621210.0,Corporation,0.0,a
25746,"WEST COAST REDEVELOPMENT, INC.",23622 CALABASAS RD,CALABASAS,CA,91302.0,236117.0,Subchapter S Corporation,356.0,a
25747,WEST VALLEY CONSTRUCTION CO. INC.,580 McGlincy Lane,CAMPBELL,CA,95008.0,236210.0,Employee Stock Ownership Plan(ESOP),0.0,a
25748,"WESTERN ALLIED MECHANICAL, INC.",1180 OBRIEN DR,MENLO PARK,CA,94025.0,238220.0,Corporation,238.0,a
25749,WESTERN EDUCATIONAL CORPORATION,177 Holston Dr.,LANCASTER,CA,93535.0,611699.0,Non-Profit Organization,390.0,a
25750,WESTERN MILLING,31120 West Street,GOSHEN,CA,93227.0,523920.0,Limited  Liability Company(LLC),346.0,a
25751,WET,10847 SHERMAN WAY,SUN VALLEY,CA,91352.0,339999.0,Corporation,250.0,a
25752,"WIKIMEDIA FOUNDATION, INC.",1 Montgomery Street Suite 1600,SAN FRANCISCO,CA,94104.0,813410.0,Non-Profit Organization,264.0,a
25753,WILLIAMS TANK LINES,1477 TILLIE LEWIS DR,STOCKTON,CA,95206.0,484220.0,Corporation,410.0,a
25754,"WINDSOR CAPITAL GROUP, INC.",3250 OCEAN PARK BLVD STE 350,SANTA MONICA,CA,90405.0,721110.0,Corporation,500.0,a
25755,WINPIN 85 INVESTMENTS LLC,1415 Moonstone 0.0,BREA,CA,92821.0,722515.0,Limited  Liability Company(LLC),388.0,a
25756,"WOOD & BROWN INSURANCE ADMINISTRATORS, INC.",721 South Parker Street Suite 300,ORANGE,CA,92868.0,524114.0,Subchapter S Corporation,291.0,a
25757,"WOOD RODGERS, INC.",3301 C. Street Suite 100B,SACRAMENTO,CA,95816.0,541330.0,Subchapter S Corporation,,a
25758,"WOOD, SMITH, HENNING & BERMAN LLP",10960 WILSHIRE BLVD Fl 18,LOS ANGELES,CA,90024.0,541110.0,Limited Liability Partnership,,a
25759,WOODLAND CLINIC MEDICAL GROUP A MEDICAL CORPORATION,632 w gibson rd,WOODLAND,CA,95695.0,621399.0,Corporation,170.0,a
25760,WOODMONT REAL ESTATE SERVICES LP,1050 RALSTON AVE,BELMONT,CA,94002.0,531210.0,Partnership,334.0,a
25761,"WORKFORCE SOLUTIONS GROUP, INC.",26090 Towne Center Drive,FOOTHILL RANCH,CA,92610.0,561320.0,Subchapter S Corporation,500.0,a
25762,WORLD OIL CORP,9302 GARFIELD AVE,SOUTH GATE,CA,90280.0,324191.0,Subchapter S Corporation,440.0,a
25763,"WORLDSTAGE OPERATIONS, INC.",1111 BELL AVE,TUSTIN,CA,92780.0,541990.0,Corporation,250.0,a
25764,"WPROMOTE, LLC",2100 E Grand Ave,EL SEGUNDO,CA,90245.0,541890.0,Limited  Liability Company(LLC),449.0,a
25765,XLD CENTURY LLC,2700 E Foothill Blvd#305,PASADENA,CA,91107.0,721110.0,Limited  Liability Company(LLC),455.0,a
25766,"YAPSTONE HOLDINGS, INC.","2121 N. California Blvd., Suite 400",WALNUT CREEK,CA,94596.0,522320.0,Corporation,0.0,a
25767,YGRENE ENERGY FUND INC,2100 MCDOWELL BOULEVARD EXT,PETALUMA,CA,94954.0,522298.0,Corporation,229.0,a
25768,"YOSHINOYA AMERICA, INC",991 knox Street,TORRANCE,CA,90502.0,722513.0,Corporation,500.0,a
25769,ZAZZLE INC,1800 SEAPORT BLVD,REDWOOD CITY,CA,94063.0,454110.0,Corporation,307.0,a
25770,"ZMC HOTELS, LLC",1855 OLYMPIC BLVD STE 300,WALNUT CREEK,CA,94596.0,721110.0,Limited  Liability Company(LLC),500.0,a
25771,"[24]7.AI, INC.",2001 Logic Drive Suite 200 0,SAN JOSE,CA,95124.0,541490.0,Corporation,441.0,a
112814,1888 INDUSTRIAL SERVICES LLC,800 8th Ave Ste 301,GREELEY,CO,80631.0,213112.0,Limited  Liability Company(LLC),250.0,a
112815,4 RIVERS EQUIPMENT LLC,924 11TH ST,GREELEY,CO,80631.0,453998.0,Limited  Liability Company(LLC),444.0,a
112816,"ADVISORS ASSET MANAGEMENT, INC",18925 Base Camp Road,MONUMENT,CO,80132.0,523110.0,Corporation,268.0,a
112817,ALCOHOL MONITORING SYSTEMS INC.,"1241 E Minneral Ave., Suite 200",LITTLETON,CO,80120.0,423450.0,Corporation,270.0,a
112818,"ALL COPY PRODUCTS, INC.",1635 W 13TH AVE,DENVER,CO,80204.0,532420.0,Corporation,408.0,a
112819,"ALLOSOURCE, INC.",6278 S. Troy Cir,ENGLEWOOD,CO,80111.0,621991.0,Non-Profit Organization,457.0,a
112820,"ALVARADO CONCEPTS, LLC",924 W. COLFAX AVE,DENVER,CO,80204.0,722513.0,Limited  Liability Company(LLC),500.0,a
112821,AMAZING CARE HOME HEALTH SERVI,2821 S. PARKER RD Suite 615,AURORA,CO,80014.0,621610.0,Corporation,479.0,a
112822,AMERICAN FINANCING CORPORATION,3045 S PARKER RD STE 100,AURORA,CO,80014.0,522292.0,Corporation,,a
112823,APOGEE ENGINEERING LLC,8610 EXPLORER DR,COLORADO SPRINGS,CO,80920.0,541330.0,Corporation,330.0,a
112824,APPLIANCE FACTORY OUTLET,321 W 84th Ave.,DENVER,CO,80260.0,532210.0,Subchapter S Corporation,495.0,a
112825,"ARAPAHOE MENTAL HEALTH CENTER, INC.",116 Inverness Drive East Suite 105,ENGLEWOOD,CO,80112.0,621112.0,Non-Profit Organization,459.0,a
112826,"ARAPAHOE MOTORS, INC.",1190 Plum Valley Lane 0.0,HIGHLANDS RANCH,CO,80129.0,441110.0,Corporation,150.0,a
112827,ASPEN VALLEY HOSPITAL DISTRICT,0401 CASTLE CREEK ROAD,ASPEN,CO,81611.0,622110.0,Non-Profit Organization,500.0,a
112828,ASPENPOINTE INC.,"675 SOUTHPOINTE CT, STE 210",COLORADO SPRINGS,CO,80906.0,621420.0,Non-Profit Organization,467.0,a
112829,BAD DADDY'S INTERNATIONAL LLC,141 UNION BLVD,LAKEWOOD,CO,80228.0,722511.0,Limited  Liability Company(LLC),500.0,a
112830,"BIGHORN CONSTRUCTION & RECLAMATION, LLC",555 17th Street,DENVER,CO,80202.0,237120.0,Limited  Liability Company(LLC),360.0,a
112831,BOSTON MARKET CORP,14103 Denver West Parkway,GOLDEN,CO,80401.0,722513.0,Corporation,500.0,a
112832,"BOULDER MEDICAL CENTER, P.C.",2750 Broadway,BOULDER,CO,80304.0,621111.0,Corporation,,a
112833,"BRIGADE ENERGY SERVICES, LLC",700 17TH ST 1550,DENVER,CO,80202.0,213112.0,Corporation,350.0,a
112834,"CAREPOINT, P.C.",5600 S. Quebec St.,ENGLEWOOD,CO,80111.0,621111.0,Corporation,383.0,a
112835,COBB MECHANICAL CONTRACTORS,2906 W Morrison St,COLORADO SPRINGS,CO,80934.0,238220.0,Subchapter S Corporation,0.0,a
112836,COLORADO MUSEUM OF NATURAL HISTORY,2001 N Colorado Blvd,DENVER,CO,80205.0,712110.0,Non-Profit Organization,494.0,a
112837,DAVIS GRAHAM & STUBBS LLP,"1550 17th Street, Ste 500",DENVER,CO,80202.0,922130.0,Partnership,227.0,a
112838,"DUTCH'S HOME IMPROVEMENT, INC.","5755 INDUSTRIAL PL, STE F",COLORADO SPRINGS,CO,80916.0,238170.0,Corporation,6.0,a
112839,"E2 OPTICS, LLC",76 Inverness Dr E,ENGLEWOOD,CO,80112.0,517911.0,Limited  Liability Company(LLC),500.0,a
112840,"ENERGY INSPECTION SERVICES, LLC",479 Wolverine Dr,BAYFIELD,CO,81122.0,541990.0,Limited  Liability Company(LLC),174.0,a
112841,ESCO CONSTRUCTION CO.,3540 Evergreen Pkwy,EVERGREEN,CO,80439.0,237110.0,Corporation,0.0,a
112842,FCI CONSTRUCTORS,3070 I-70 BUSINESS LOOP,GRAND JUNCTION,CO,81504.0,236220.0,Corporation,394.0,a
112843,"FIORE & SONS, INC",80 East 62nd Ave; #101,DENVER,CO,80216.0,238910.0,Subchapter S Corporation,0.0,a
112844,"FIRST MERIDIAN SERVICES, INC.",8231 East Prentice Avenue,ENGLEWOOD,CO,80111.0,722310.0,Subchapter S Corporation,500.0,a
112845,"GCSES II HOLDINGS, LP",1470 WALNUT ST,BOULDER,CO,80302.0,237120.0,Partnership,457.0,a
112846,"GERALD H. PHIPPS, INC.",5995 Greenwood Plaza Blvd,ENGLEWOOD,CO,80111.0,236210.0,Subchapter S Corporation,438.0,a
112847,"GOLFTEC ENTERPRISES, LLC",67 Inverness Drive East Suite 175,ENGLEWOOD,CO,80112.0,611620.0,Limited  Liability Company(LLC),467.0,a
112848,GORES VITAC HOLDINGS,6260 Lookout Road,BOULDER,CO,80301.0,561492.0,Corporation,500.0,a
112849,"GRAEBEL COMPANIES, INC.",16346 Airport Circle,AURORA,CO,80011.0,484210.0,Corporation,422.0,a
112850,"GROUP VOYAGERS, INC.",5301 S. Federal Circle,LITTLETON,CO,80123.0,561520.0,Corporation,380.0,a
112851,HASELDEN CONSTRUCTION,6950 S POTOMAC ST Ste 100,CENTENNIAL,CO,80112.0,236220.0,Limited  Liability Company(LLC),392.0,a
112852,"INSPIRATO, LLC",1544 WAZEE ST,DENVER,CO,80202.0,721199.0,Limited  Liability Company(LLC),481.0,a
112853,"INTELLISOURCE, LLC","1899 Wynkoop St, Ste 200",DENVER,CO,80202.0,561320.0,Limited  Liability Company(LLC),500.0,a
112854,"INTREPID POTASH, INC.",1001 17th Street #1050,DENVER,CO,80202.0,212391.0,Corporation,444.0,a
112855,K2D INC,2035  2ND AVE,GREELEY,CO,80631.0,424470.0,Corporation,500.0,a
112856,"KONA GRILL ACQUISITION, LLC",1624 MARKET ST,DENVER,CO,80202.0,722110.0,Limited  Liability Company(LLC),500.0,a
112857,LERCH BATES INC.,"9780 S. Meridian Blvd, Suite 450",ENGLEWOOD,CO,80112.0,541330.0,Employee Stock Ownership Plan(ESOP),0.0,a
112858,"LIGNETIC, INC",1075 E SOUTH BOULDER RD,LOUISVILLE,CO,80027.0,321999.0,Corporation,490.0,a
112859,"LONG BUILDING TECHNOLOGIES, INC.",5001 S. Zuni Street,LITTLETON,CO,80120.0,423730.0,Subchapter S Corporation,0.0,a
112860,LONGBOW INDUSTRIES LLC,1171 Des Moiines Avenue,LOVELAND,CO,80537.0,238120.0,Limited  Liability Company(LLC),380.0,a
112861,MAC ACQUISITION LLC,1855 BLAKE ST #200,DENVER,CO,80202.0,722511.0,Limited  Liability Company(LLC),36.0,a
112862,MAC ACQUISITION OF NEW JERSEY LLC,1855 Blake St Suite 200,DENVER,CO,80202.0,722511.0,Limited  Liability Company(LLC),500.0,a
112863,"MADWIRE, LLC",3405 S Timberline Road,FORT COLLINS,CO,80525.0,519130.0,Limited  Liability Company(LLC),500.0,a
112864,METRO COMMUNITY PROVIDER NETWORK,2255 Oneida Street,DENVER,CO,80224.0,621111.0,Non-Profit Organization,458.0,a
112865,"MISION YOGURT, INC.",10943 Meade Way,WESTMINSTER,CO,80031.0,722511.0,Corporation,355.0,a
112866,MORTGAGE SOLUTIONS OF COLORADO LLC,5455 N Union Blvd,COLORADO SPRINGS,CO,80918.0,522310.0,Limited  Liability Company(LLC),0.0,a
112867,"MOTION & FLOW CONTROL PRODUCTS, INC.",10822 W. Toller Drive Suite 300,LITTLETON,CO,80127.0,423840.0,Corporation,405.0,a
112868,"NAVAJO TRANSITIONAL ENERGY COMPANY, LLC",385 Interlocken Crescent Suite 400,BROOMFIELD,CO,80021.0,212111.0,Limited  Liability Company(LLC),500.0,a
112869,NEW AGE BEVERAGES CORPORATION,2420 17TH ST Suite 220,DENVER,CO,80202.0,312111.0,Corporation,442.0,a
112870,NORTH PARK TRANSPORTATION COMPANY,5150 Columbine Street,DENVER,CO,80216.0,484122.0,Subchapter S Corporation,249.0,a
112871,NORTH RANGE BEHAVIORAL HEALTH,1300 N 17th Ave,GREELEY,CO,80631.0,621420.0,Non-Profit Organization,494.0,a
112872,OMNITRAX HOLDINGS COMBINED INC,252 CLAYTON ST,DENVER,CO,80206.0,482112.0,Subchapter S Corporation,500.0,a
112873,"ORTHOPAEDIC & SPINE CENTER OF THE ROCKIES, PC",2500 E Prospect RD,FORT COLLINS,CO,80525.0,621111.0,Subchapter S Corporation,,a
112874,"PAX8, INC.",5500 S. Quebec St. #350,GREENWOOD VILLAGE,CO,80111.0,541511.0,Corporation,249.0,a
112875,"PBS BRAND CO., LLC",3120 N Uinta St Ste 300 0.0,DENVER,CO,80238.0,722511.0,Limited  Liability Company(LLC),500.0,a
112876,"PEAK 8 PROPERTIES, LLC",100 S MAIN ST,BRECKENRIDGE,CO,80424.0,721110.0,Limited  Liability Company(LLC),500.0,a
112877,PERFORMANCE ENERGY SERVICES LLC,2149 BRIDGE ST,BRIGHTON,CO,80601.0,237120.0,Limited  Liability Company(LLC),468.0,a
112878,"PERFX WIRELINE SERVICES, LLC","1525 Raleigh St, Suite 500",DENVER,CO,80204.0,213112.0,Limited  Liability Company(LLC),414.0,a
112879,"PRIMESOURCE STAFFING, LLC","10065 E Harvard Ave, Suite 230",DENVER,CO,80231.0,561320.0,Limited  Liability Company(LLC),500.0,a
112880,PUBLICATION PRINTERS CORP.,2001 S PLATTE RIVER DR,DENVER,CO,80223.0,323111.0,Corporation,450.0,a
112881,"QUALITY BEHAVIORAL OUTCOMES, LLC",390 Union Blvd Suite 300,LAKEWOOD,CO,80228.0,624190.0,Limited  Liability Company(LLC),500.0,a
112882,"ROCKY MOUNTAIN CANCER CENTERS, LLP","7951 E. MAPLEWOOD AVE, Suite 300",GREENWOOD VILLAGE,CO,80111.0,621111.0,Limited Liability Partnership,478.0,a
112883,"ROLFSON OIL, LLC",8361 N RAMPART RANGE RD STE B208,LITTLETON,CO,80125.0,484230.0,Limited  Liability Company(LLC),256.0,a
112884,"SERVICE SYSTEMS ASSOCIATES, INC.",4624 CENTRAL PARK BLVD,DENVER,CO,80238.0,722310.0,Subchapter S Corporation,500.0,a
112885,SHERMAN & HOWARD,633 17th St Ste 3000,DENVER,CO,80202.0,922130.0,Limited  Liability Company(LLC),326.0,a
112886,SNAPPY NAILS & SPA 2 INC,5160 W 120th Avenue unit c,WESTMINSTER,CO,80021.0,812113.0,Subchapter S Corporation,9.0,a
112887,SNAPPY NAILS & SPA 9 INC,2055 W 136th Avenue unit 130,BROOMFIELD,CO,80023.0,812113.0,Subchapter S Corporation,14.0,a
112888,SNOOZE IMPORT EXPORT LLC,"3001 Brighton Blvd, Suite 303 0.0",DENVER,CO,80216.0,722511.0,Limited  Liability Company(LLC),404.0,a
112889,SOUTHWEST HEALTH SYSTEM INC,1311 North Mildred Road,CORTEZ,CO,81321.0,622110.0,Non-Profit Organization,423.0,a
112890,SPANISH PEAKS HEALTHCARE SYSTEMS,41 MONTEBELLO RD STE 200,PUEBLO,CO,81001.0,621498.0,Non-Profit Organization,395.0,a
112891,SPECTRA LOGIC CORPORATION,6285 LOOKOUT RD,BOULDER,CO,80301.0,334118.0,Corporation,,a
112892,STRIVE PREPARATORY SCHOOLS,2480 W 26TH AVE STE B-360,DENVER,CO,80211.0,611110.0,Non-Profit Organization,498.0,a
112893,SULLIVAN'S HOLDING LLC,1855 Blake St Suite 200,DENVER,CO,80202.0,722511.0,Limited  Liability Company(LLC),500.0,a
112894,"TABLEROCK HOLDINGS, LLC","140 E 19th Ave, Suite 600",DENVER,CO,80203.0,541370.0,Limited  Liability Company(LLC),421.0,a
112895,"TEAMLINX, LLLP",9900 E. 51st Ave,DENVER,CO,80238.0,238210.0,Partnership,500.0,a
112896,"THE LARAMAR GROUP, LLC",7555 HAMPDEN AVE,DENVER,CO,80231.0,531390.0,Limited  Liability Company(LLC),379.0,a
112897,THE ONE GROUP LLC,1624 Market St Ste 311,DENVER,CO,80202.0,722511.0,Limited  Liability Company(LLC),500.0,a
112898,"THE PREMIER GROUP STAFFING, LLC",600 S BROADWAY,DENVER,CO,80209.0,561320.0,Limited  Liability Company(LLC),450.0,a
112899,THE WESTERN SUGAR COOPERATIVE,7555 E. HAMPDEN AVE Suite 520,DENVER,CO,80231.0,311313.0,Corporation,500.0,a
112900,TRANSWEST FREIGHTLINER LLC,20770 I-76,BRIGHTON,CO,80603.0,441228.0,Limited  Liability Company(LLC),500.0,a
112901,TRUST-BOSTON MARKET CORP,14103 Denver West Parkway,LAKEWOOD,CO,80401.0,722513.0,Trust,500.0,a
112902,"U.S. TRANSPORT,INC",241 W. 56TH AVE,DENVER,CO,80216.0,484220.0,Subchapter S Corporation,277.0,a
112903,"WARD ELECTRIC COMPANY, INC.",9586 E I 25 FRONTAGE RD STE B,LONGMONT,CO,80504.0,237130.0,Subchapter S Corporation,315.0,a
112904,WEIFIELD GROUP CONTRACTING INC.,6950 S Jordan Road,CENTENNIAL,CO,80127.0,236220.0,Subchapter S Corporation,0.0,a
112905,"WELLBRIDGE CLUB MANAGEMENT, LLC",6140 Greenwood Plaza Blvd,GREENWOOD VILLAGE,CO,80111.0,713940.0,Limited  Liability Company(LLC),500.0,a
112906,"WELLTOK, INC.","1515 Arapahoe St Tower 3, Suite 700",DENVER,CO,80202.0,541512.0,Corporation,,a
112907,"WENDY'S OF COLORADO SPRINGS, INC.",11515 N. Academy Blvd,COLORADO SPRINGS,CO,80909.0,722511.0,Partnership,500.0,a
112908,WISCONSIN ILLINOIS SENIOR HOUSING INC,13185 West Green Mountain Drive,DENVER,CO,80228.0,623312.0,Non-Profit Organization,500.0,a
126199,"AFFINECO, LLC",855 MAIN ST,BRIDGEPORT,CT,6604.0,561720.0,Limited  Liability Company(LLC),500.0,a
126200,"ALLIED PRINTING SERVICES, INC.",1 ALLIED WAY,MANCHESTER,CT,6042.0,323111.0,Subchapter S Corporation,368.0,a
126201,AMERICAN CUSTOMER CARE INC,225 N Main Street,BRISTOL,CT,6010.0,561422.0,Corporation,,a
126202,"APPLE CENTRAL, LLC",170 Mason Street,GREENWICH,CT,6830.0,722511.0,Limited  Liability Company(LLC),,a
126203,"BL COMPANIES, INC.",355 Research Parkway,MERIDEN,CT,6450.0,541330.0,Subchapter S Corporation,,a
126204,"BLUM SHAPIRO & COMPANY, P.C.",29 SOUTH MAIN STREET,WEST HARTFORD,CT,6127.0,541211.0,Corporation,467.0,a
126205,"CAFFEINE, INC.",897 Boston Post Road,MADISON,CT,6443.0,541613.0,Subchapter S Corporation,,a
126206,"CANTINA HOSPITALITY, LLC",170 Mason Street,GREENWICH,CT,6830.0,722511.0,Limited  Liability Company(LLC),,a
126207,CENVEO WORLDWIDE LIMITED,200 First Stamford Place,STAMFORD,CT,6902.0,322230.0,Corporation,500.0,a
126208,"COMNET COMMUNICATIONS, LLC",1 Park Ridge Road Suite,BETHEL,CT,6801.0,238990.0,Limited  Liability Company(LLC),,a
126209,CONNECTICUT CONTAINER CORP,455 SACKETT POINT RD,NORTH HAVEN,CT,6473.0,326112.0,Corporation,392.0,a
126210,"CONNECTICUT ORTHOPAEDIC SPECIALISTS, P.C.",2408 Whitney Ave,HAMDEN,CT,6518.0,621111.0,Corporation,0.0,a
126211,DAY PITNEY LLP,242 TRUMBULL ST,HARTFORD,CT,6103.0,541110.0,Partnership,477.0,a
126212,E-J ELECTRIC T&D LLC,53 North PLAINS INDUSTRIAL RD,WALLINGFORD,CT,6492.0,238210.0,Limited  Liability Company(LLC),207.0,a
126213,"ECP-PF HOLDINGS GROUP, INC.",35 Old Tavern Road Suite 200,ORANGE,CT,6477.0,722511.0,Corporation,492.0,a
126214,"ELM HILL MANOR, INC.",37 Elm Street,VERNON ROCKVILLE,CT,6066.0,623990.0,Corporation,10.0,a
126215,"FUELCELL ENERGY, INC.",3 GREAT PASTURE RD,DANBURY,CT,6810.0,334413.0,Corporation,258.0,a
126216,FUSS & O'NEILL INC,146 Hartford Rd,MANCHESTER,CT,6040.0,541330.0,Corporation,295.0,a
126217,GENGRAS MOTOR CARS INC.,300 CONNECTICUT BLVD,EAST HARTFORD,CT,6108.0,441110.0,Subchapter S Corporation,495.0,a
126218,HAMILTON CONNECTIONS INC,1602 MAIN ST,EAST HARTFORD,CT,6108.0,561320.0,Corporation,500.0,a
126219,"HB COMMUNICATIONS, INC.",60 DODGE AVE,NORTH HAVEN,CT,6473.0,423620.0,Corporation,345.0,a
126220,"HOBSON & MOTZER, INC",32 AIRLINE RD,DURHAM,CT,6422.0,332119.0,Subchapter S Corporation,0.0,a
126221,INTEGRATED ANESTHESIA ASSOCIATES LLC,2 TRAP FALLS RD,SHELTON,CT,6484.0,621111.0,Limited  Liability Company(LLC),244.0,a
126222,"LATICRETE INTERNATIONAL, INC.",1 Laticrete Park North,BETHANY,CT,6524.0,325510.0,Subchapter S Corporation,,a
126223,"MASSEY'S PLATE GLASS & ALUMINUM, INC.",734 EAST MAIN ST,BRANFORD,CT,6405.0,238150.0,Subchapter S Corporation,162.0,a
126224,"MERRITT HOSPITALITY, LLC","101 Merritt 7 Corp Park, 1st Floor 0.0",NORWALK,CT,6851.0,721110.0,Limited  Liability Company(LLC),40.0,a
126225,MODA LLC,777 West Putnam Avenue 0,GREENWICH,CT,6830.0,424340.0,Limited  Liability Company(LLC),224.0,a
126226,MONROE STAFFING SERVICES LLC,6 RESEARCH DR,SHELTON,CT,6484.0,561311.0,Corporation,500.0,a
126227,MUNICIPAL EMERGENCY SERVICES INC,12 TURNBERRY LANE 2ND FLOOR,SANDY HOOK,CT,6482.0,423850.0,Corporation,,a
126228,NCL ACQUISITION CORP.,"1010 WASHINGTON BLVD, 11th Floor",STAMFORD,CT,6901.0,325620.0,Corporation,500.0,a
126229,"NUTMEG STAIRS & CABINETS, INC",115 WEST RD,ELLINGTON,CT,6029.0,337110.0,Corporation,4.0,a
126230,"PORTER AND CHESTER INSTITUTE, INC",30 Waterchase Drive,ROCKY HILL,CT,6067.0,611519.0,Corporation,500.0,a
126231,PRECISION RESOURCE INC,25 FOREST PARKWAY,SHELTON,CT,6484.0,336370.0,Corporation,0.0,a
126232,"PROPARK AMERICA WEST, LLC",1 UNION PL,HARTFORD,CT,6103.0,812930.0,Limited  Liability Company(LLC),500.0,a
126233,PROPARK INC,1 Union Place,HARTFORD,CT,6103.0,812930.0,Corporation,,a
126234,"R.T. VANDERBILT HOLDING COMPANY, INC.",30 Winfield Street 0.0,NORWALK,CT,6855.0,325180.0,Corporation,426.0,a
126235,"RING'S END, INCORPORATED",181 WEST AVE,DARIEN,CT,6820.0,444190.0,Subchapter S Corporation,467.0,a
